Number_of_input || Number_of_output

2	1

Degree || Load || Diffraction

8	4	-0.037145655
10	4	-0.038994299
12	4	-0.040549755
14	4	-0.041891839
16	4	-0.043056218
18	4	-0.04405817
20	4	-0.044903064
22	4	-0.045591366
24	4	-0.046121198
26	4	-0.046489713
28	4	-0.04669387
30	4	-0.046730891
32	4	-0.046598543
34	4	-0.046295321
36	4	-0.045820573
38	4	-0.045174584
40	4	-0.044358653
42	4	-0.043375144
44	4	-0.042227536
46	4	-0.040920474
48	4	-0.039459811
50	4	-0.037852659
52	4	-0.036107434
54	4	-0.034233914
56	4	-0.032243296
58	4	-0.030148264
60	4	-0.027963059
62	4	-0.02570357
64	4	-0.023387426
66	4	-0.021034109
68	4	-0.01866508
70	4	-0.01630393
72	4	-0.013976551
74	4	-0.011711336
76	4	-0.009539418
78	4	-0.00749494
80	4	-0.005615386
8	3.8	-0.035411052
10	3.8	-0.037176768
12	3.8	-0.038662733
14	3.8	-0.039945148
16	3.8	-0.041058056
18	3.8	-0.042016028
20	3.8	-0.042824174
22	3.8	-0.043482928
24	3.8	-0.043990483
26	3.8	-0.044344112
28	3.8	-0.044540898
30	3.8	-0.044578181
32	3.8	-0.04445382
34	3.8	-0.044166368
36	3.8	-0.043715194
38	3.8	-0.043100563
40	3.8	-0.042323706
42	3.8	-0.041386871
44	3.8	-0.040293375
46	3.8	-0.039047642
48	3.8	-0.037655255
50	3.8	-0.036122994
52	3.8	-0.034458888
54	3.8	-0.032672264
56	3.8	-0.030773804
58	3.8	-0.028775607
60	3.8	-0.026691262
62	3.8	-0.024535929
64	3.8	-0.022326425
66	3.8	-0.020081337
68	3.8	-0.01782114
70	3.8	-0.015568336
72	3.8	-0.013347625
74	3.8	-0.011186086
76	3.8	-0.009113409
78	3.8	-0.007162152
80	3.8	-0.005368047
8	3.6	-0.033676772
10	3.6	-0.035359644
12	3.6	-0.036776205
14	3.6	-0.037999043
16	3.6	-0.039060572
18	3.6	-0.039974659
20	3.6	-0.040746154
22	3.6	-0.041375457
24	3.6	-0.041860836
26	3.6	-0.042199676
28	3.6	-0.042389191
30	3.6	-0.042426834
32	3.6	-0.042310554
34	3.6	-0.042038963
36	3.6	-0.04161145
38	3.6	-0.041028258
40	3.6	-0.040290549
42	3.6	-0.039400456
44	3.6	-0.038361128
46	3.6	-0.037176773
48	3.6	-0.035852697
50	3.6	-0.034395352
52	3.6	-0.032812376
54	3.6	-0.031112644
56	3.6	-0.029306322
58	3.6	-0.027404927
60	3.6	-0.025421393
62	3.6	-0.023370148
64	3.6	-0.0212672
66	3.6	-0.01913024
68	3.6	-0.016978757
70	3.6	-0.014834168
72	3.6	-0.012719977
74	3.6	-0.010661955
76	3.6	-0.008688351
78	3.6	-0.006830138
80	3.6	-0.005121307
8	3.4	-0.031942813
10	3.4	-0.033542927
12	3.4	-0.034890172
14	3.4	-0.036053522
16	3.4	-0.037063765
18	3.4	-0.03793406
20	3.4	-0.038669002
22	3.4	-0.039268953
24	3.4	-0.039732253
26	3.4	-0.040056406
28	3.4	-0.040238748
30	3.4	-0.040276847
32	3.4	-0.040168743
34	3.4	-0.039913105
36	3.4	-0.03950934
38	3.4	-0.038957667
40	3.4	-0.03825918
42	3.4	-0.037415895
44	3.4	-0.036430794
46	3.4	-0.035307863
48	3.4	-0.034052135
50	3.4	-0.032669729
52	3.4	-0.031167893
54	3.4	-0.02955505
56	3.4	-0.027840849
58	3.4	-0.026036222
60	3.4	-0.024153447
62	3.4	-0.022206223
64	3.4	-0.020209746
66	3.4	-0.018180815
68	3.4	-0.016137928
70	3.4	-0.014101421
72	3.4	-0.012093604
74	3.4	-0.01013894
76	3.4	-0.00826424
78	3.4	-0.006498897
80	3.4	-0.004875164
8	3.2	-0.030209174
10	3.2	-0.031726613
12	3.2	-0.03300463
14	3.2	-0.034108583
16	3.2	-0.035067633
18	3.2	-0.035894231
20	3.2	-0.036592716
22	3.2	-0.037163413
24	3.2	-0.037604734
26	3.2	-0.037914297
28	3.2	-0.038089565
30	3.2	-0.038128218
32	3.2	-0.038028385
34	3.2	-0.037788791
36	3.2	-0.03740886
38	3.2	-0.036888787
40	3.2	-0.036229598
42	3.2	-0.035433187
44	3.2	-0.03450237
46	3.2	-0.03344091
48	3.2	-0.032253566
50	3.2	-0.030946124
52	3.2	-0.029525439
54	3.2	-0.027999481
56	3.2	-0.026377381
58	3.2	-0.024669488
60	3.2	-0.022887422
62	3.2	-0.02104415
64	3.2	-0.019154062
66	3.2	-0.017233057
68	3.2	-0.015298651
70	3.2	-0.013370092
72	3.2	-0.011468502
74	3.2	-0.009617037
76	3.2	-0.007841073
78	3.2	-0.006168427
80	3.2	-0.004629616
8	3	-0.02847585
10	3	-0.029910701
12	3	-0.031119577
14	3	-0.032164223
16	3	-0.033072172
18	3	-0.033855169
20	3	-0.034517294
22	3	-0.035058836
24	3	-0.035478277
26	3	-0.03577335
28	3	-0.035941642
30	3	-0.035980946
32	3	-0.035889478
34	3	-0.035666019
